,WK_DT,PIPE_NO,DV_R,DA_R,AV_R,AA_R,PM_R,FIN_JGMT
214,20220117080025400,PP22041200707,321,8264,364,5948,9270,1
215,20220117080025400,PP22041200707,321,8264,364,5948,9270,1
216,20220117080025500,PP22041200707,320,8330,362,6001,9270,1
217,20220117080025500,PP22041200707,320,8330,362,6001,9270,1
218,20220117080025800,PP22041200707,320,8275,359,6000,9270,1
219,20220117080025800,PP22041200707,320,8275,359,6000,9270,1
220,20220117080026000,PP22041200707,320,8340,357,6002,9270,1
221,20220117080026000,PP22041200707,320,8340,357,6002,9270,1
222,20220117080026300,PP22041200707,320,8297,362,5948,9270,1
223,20220117080026300,PP22041200707,320,8297,362,5948,9270,1
224,20220117080026400,PP22041200707,320,8320,363,5948,9270,1
225,20220117080026400,PP22041200707,320,8320,363,5948,9275,1
226,20220117080026700,PP22041200707,320,8326,362,5948,9285,1
227,20220117080026700,PP22041200707,320,8326,362,5948,9288,1
228,20220117080027000,PP22041200707,319,8344,357,6114,9289,1
229,20220117080027000,PP22041200707,319,8344,357,6114,9288,1
230,20220117080027200,PP22041200707,320,8315,360,6035,9290,1
231,20220117080027200,PP22041200707,320,8315,360,6035,9300,1
232,20220117080027400,PP22041200707,320,8337,363,5970,9301,1
233,20220117080027400,PP22041200707,320,8337,363,5970,9300,1
234,20220117080027500,PP22041200707,308,7934,361,5962,9303,1
235,20220117080027500,PP22041200707,308,7934,361,5962,9317,1
236,20220117080027900,PP22041200707,308,7951,360,5958,9319,1
237,20220117080027900,PP22041200707,308,7951,360,5958,9320,1
238,20220117080028100,PP22041200707,320,8309,361,6019,9324,1
239,20220117080028100,PP22041200707,320,8309,361,6019,9333,1
240,20220117080028300,PP22041200707,320,8339,359,6050,9335,1
241,20220117080028300,PP22041200707,320,8339,359,6050,9330,1
242,20220117080028500,PP22041200707,320,8327,360,5970,9327,1
243,20220117080028500,PP22041200707,320,8327,360,5970,9328,1
244,20220117080028800,PP22041200707,320,8310,358,6027,9329,1
245,20220117080028800,PP22041200707,320,8310,358,6027,9319,1
246,20220117080028900,PP22041200707,320,8308,357,6073,9310,1
247,20220117080028900,PP22041200707,320,8308,357,6073,9308,1
248,20220117080029200,PP22041200707,308,7957,361,5948,9305,1
249,20220117080029200,PP22041200707,308,7957,361,5948,9300,1
250,20220117080029500,PP22041200707,319,8331,359,6025,9295,1
251,20220117080029500,PP22041200707,319,8331,359,6025,9296,1
252,20220117080029600,PP22041200707,320,8278,364,5948,9290,1
253,20220117080029600,PP22041200707,320,8278,364,5948,9285,1
254,20220117080029900,PP22041200707,319,8381,363,5948,9286,1
255,20220117080029900,PP22041200707,319,8381,363,5948,9279,1
256,20220117080030200,PP22041200707,321,8284,361,6007,9276,1
257,20220117080030200,PP22041200707,321,8284,361,6007,9275,1
258,20220117080030300,PP22041200707,319,8321,358,6054,9270,1
259,20220117080030300,PP22041200707,319,8321,358,6054,9270,1
260,20220117080030600,PP22041200707,308,7934,359,5997,9271,1
261,20220117080030600,PP22041200707,308,7934,359,5997,9276,1
262,20220117080030900,PP22041200707,320,8316,360,6009,9280,1
263,20220117080030900,PP22041200707,320,8316,360,6009,9299,1
264,20220117080031000,PP22041200707,321,8277,359,6036,9300,1
265,20220117080031000,PP22041200707,321,8277,359,6036,9321,1
266,20220117080031300,PP22041200707,308,7934,358,6084,9327,1
267,20220117080031300,PP22041200707,308,7934,358,6084,9270,1
268,20220117080031500,PP22041200707,321,8295,359,5988,9270,1
269,20220117080031500,PP22041200707,321,8295,359,5988,9270,1
270,20220117080031900,PP22041200707,320,8338,361,6002,9270,1
271,20220117080031900,PP22041200707,320,8338,361,6002,9270,1
272,20220117080032100,PP22041200707,320,8345,361,6018,9270,1
273,20220117080032100,PP22041200707,320,8345,361,6018,9275,1
274,20220117080032500,PP22041200707,308,7934,358,6090,9285,1
275,20220117080032500,PP22041200707,308,7934,358,6090,9288,1
276,20220117080032700,PP22041200707,308,7934,361,5980,9289,1
277,20220117080032700,PP22041200707,308,7934,361,5980,9288,1
278,20220117080033000,PP22041200707,308,7946,359,6084,9290,1
279,20220117080033000,PP22041200707,308,7946,359,6084,9300,1
280,20220117080033100,PP22041200707,320,8318,359,6000,9301,1
281,20220117080033100,PP22041200707,320,8318,359,6000,9300,1
282,20220117080033300,PP22041200707,320,8275,360,5987,9303,1
283,20220117080033300,PP22041200707,320,8275,360,5987,9317,1
284,20220117080033600,PP22041200707,320,8323,358,6099,9319,1
285,20220117080033600,PP22041200707,320,8323,358,6099,9320,1
286,20220117080033800,PP22041200707,321,8302,357,6051,9324,1
287,20220117080033800,PP22041200707,321,8302,357,6051,9333,1
288,20220117080034100,PP22041200707,320,8295,357,6104,9335,1
